Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
25,107726,Chrystian Barletta,SPT,Atacante,visitante,1.2,,3.0,,1.0,,,,,,,,,,,,,,,,
25,107873,Bobadilla,SAO,Meia,mandante,2.4,,2.0,,3.0,1.0,1.0,,,,,,,,,,,,,,
25,107989,Carbonero,INT,Atacante,visitante,4.8,1.0,5.0,,1.0,1.0,,,,,1.0,,,,,,,,,,
25,108274,David Ricardo,BOT,Zagueiro,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
25,108548,Aravena,GRE,Atacante,mandante,8.0,,,,,,,,,1.0,,,,,,,,,,,
25,108683,Emiliano Martínez,PAL,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,108713,Galeano,CEA,Atacante,visitante,2.1,2.0,,,1.0,,,,,,,,,,,,,,,,
25,109096,Plata,FLA,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,109573,Martinelli,FLU,Meia,mandante,7.9,,,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,
25,110311,José Martínez,COR,Meia,mandante,0.9,,,,2.0,1.0,,,,,,,,,,,,,,,
25,110506,Abel Ferreira,PAL,Técnico,visitante,3.15,,,,,,,,,,,,,,,,,,,,
25,110542,Yeison Guzmán,FOR,Meia,mandante,3.5,,1.0,,,2.0,,,,,,,,,,,,,,,
25,110760,Biel,CAM,Atacante,mandante,5.9,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,
25,111309,Gustavo Martins,GRE,Zagueiro,mandante,1.2,,,,1.0,1.0,,,,,,,,,,,,,,,
25,111407,Luis Mandaca,JUV,Meia,mandante,1.9,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,
25,111466,Victor Gabriel,INT,Zagueiro,visitante,3.1,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,
25,111683,Anthoni,INT,Goleiro,visitante,1.6,,,,,,,,,,,2.0,1.0,,,,,,,,
